CommonName,BotanicalName,Family,Origin,PotentialUse,Description,Phenology,Taxonomy,EcologicalUses,EthnobotanicalUses,Latitude,Longitude,CoverImageURL,FlowerImageURL,FruitImageURL,LeafImageURL,BarkImageURL,SourceNote
Chir Pine,Pinus roxburghii,Pinaceae,Native,Timber,"A coniferous evergreen tree native to the Himalayan foothills including Uttarakhand, forming extensive pure stands between roughly 500-2000 m elevation, and one of the principal resin-yielding pines of India.","Evergreen conifer; male cones release pollen in spring, with female cones taking about two years to mature and shed seed.",Kingdom Plantae; Order Pinales; Family Pinaceae; Genus Pinus; Species P. roxburghii.,"Dominant forest-forming species across much of the western Himalayan foothills, including the Doon Valley around Dehradun; adapted to fire-prone habitats with thick, insulating bark.","Major source of oleoresin (chir resin), tapped commercially for turpentine and rosin production; timber used in construction and as fuelwood.",30.3417,78.033,,,,,,Verified against Wikipedia (Pinus roxburghii) (accessed 2026).
Semal (Silk Cotton Tree),Bombax ceiba,Malvaceae,Native,Ornamental,"A tall deciduous tree native to tropical and subtropical Asia including the Indian subcontinent, notable for its striking large red flowers and buttressed trunk studded with conical thorns when young.","Leafless during flowering, typically January-March in North India, when large red (occasionally orange) flowers appear before new leaves; capsule fruits release cotton-like fibre (kapok-like floss) around the seeds.",Kingdom Plantae; Order Malvales; Family Malvaceae; Genus Bombax; Species B. ceiba.,Flowers are an important nectar source for birds (including sunbirds) and other pollinators during the otherwise resource-scarce dry season.,Silky floss from the seed pods traditionally used as stuffing for pillows and cushions; various plant parts used in traditional medicine for wound healing and other ailments.,30.3395,78.0371,,,,,,Verified against Wikipedia (Bombax ceiba) (accessed 2026).
Mango,Mangifera indica,Anacardiaceae,Native,Food,"A large evergreen fruit tree native to the region between northwestern Myanmar, Bangladesh, and northeastern India, cultivated in India since ancient times and now grown in tropical and subtropical regions worldwide.","Red-yellow flowers appear at the end of winter and into early spring, borne in terminal panicles; fruit matures over the following months, with hundreds of cultivated varieties reported in India.",Kingdom Plantae; Order Sapindales; Family Anacardiaceae; Genus Mangifera; Species M. indica.,Long-lived shade tree (productive life over 50 years) supporting pollinators during flowering; related to cashew and pistachio within Anacardiaceae.,"India's most widely cultivated fruit tree, with approximately 500 named varieties; young leaves and bark contain mangiferin, a compound studied for pharmacological activity; fruit is a major dietary and economic crop across South Asia.",30.3388,78.0344,,,,,,Verified against Wikipedia (Mangifera indica) and LUMS Biodiversity database (accessed 2026).
Jamun (Java Plum),Syzygium cumini,Myrtaceae,Native,"Food, Medicinal","An evergreen tropical tree native to the Indian subcontinent and adjoining Southeast Asia, favoured for its fruit, timber and ornamental value, capable of living more than 100 years.","Fragrant small flowers appear March-April; the oblong fruit follows in May-June, changing colour from green to pink to crimson-black as it ripens.",Kingdom Plantae; Order Myrtales; Family Myrtaceae; Genus Syzygium; Species S. cumini.,"Dense shady canopy valued for ornamental and shade purposes; fruits are eaten by native birds and small mammals including jackals, civets and fruit bats.","Fruit widely eaten fresh across South Asia and used in traditional remedies, particularly associated with blood sugar management in folk medicine; water-resistant wood historically used for railway sleepers and well installations.",30.3406,78.0333,,,,,,Verified against Wikipedia (Syzygium cumini) and LUMS Biodiversity database (accessed 2026).
Arjun,Terminalia arjuna,Combretaceae,Native,Medicinal,"A large deciduous tree native to India, growing to 20-25 m (occasionally taller) with a distinctive buttressed trunk and wide, drooping-branched crown, long valued as a traditional medicinal plant.","New leaves appear in the hot season (February-April); pale yellow flowers bloom March-June, followed by fibrous, five-winged woody fruit maturing September-November.",Kingdom Plantae; Order Myrtales; Family Combretaceae; Genus Terminalia; Species T. arjuna.,"Grows naturally along stream banks and moist places across the sub-Himalayan tract and central India, with a shallow radial root system that helps stabilise banks.","Bark is a well-known Ayurvedic cardiotonic, traditionally used to support heart health, and also used in ulcer treatment and as an astringent; commonly prepared as arjunarishta in Ayurvedic medicine.",30.3387,78.0375,,,,,,Verified against Wikipedia (Terminalia arjuna) and World Agroforestry Centre species database (accessed 2026).
Moringa (Drumstick Tree),Moringa oleifera,Moringaceae,Native,"Food, Medicinal","A fast-growing, drought-resistant tree native to the southern foothills of the Himalayas in northwestern India, now cultivated widely across South and Southeast Asia and beyond for its exceptionally versatile uses.","Fast-growing and often coppiced back to about a metre to keep pods within reach; produces long, slender triangular seed pods (the 'drumsticks') that are harvested immature.",Kingdom Plantae; Order Brassicales; Family Moringaceae; Genus Moringa; Species M. oleifera.,Highly drought-tolerant and adaptable to poor soils; considered one of the most useful trees globally since nearly every part has a beneficial application.,"Immature seed pods and leaves are widely eaten as vegetables across India; seeds, oil, bark and roots are used in traditional herbal medicine, and the seeds are also used for water purification.",30.3374,78.0329,,,,,,Verified against Wikipedia (Moringa oleifera) and Kew Plants of the World Online (accessed 2026).
Khair (Catechu Tree),Acacia catechu,Fabaceae,Native,"Medicinal, Timber","A small to medium-sized thorny deciduous tree native to South and Southeast Asia including the Indian subcontinent, Myanmar, Thailand and China, historically important as the source of the catechu/cutch extract.","Deciduous with slender, curved thorns at the base of each leaflet-bearing petiole; small yellowish flowers borne in cylindrical spikes, followed by flat brown pods.",Kingdom Plantae; Order Fabales; Family Fabaceae (subfamily Mimosoideae); Genus Acacia/Senegalia; Species A. catechu.,"Grows naturally in mixed deciduous forests and savannas on drier, sandy soils of riverbanks and watersheds; flowers provide nectar and pollen for bees.",Heartwood extract (katha/cutch) is a key ingredient in paan chewing mixtures across South Asia and has long been used in Ayurvedic medicine as an astringent; also used historically for tanning leather and dyeing.,30.3369,78.0344,,,,,,"Verified against World Agroforestry Centre database, LUMS Biodiversity database, and Wikipedia (Catechu) (accessed 2026)."
Bael (Bengal Quince),Aegle marmelos,Rutaceae,Native,"Medicinal, Sacred / Socio-cultural, Food","A thorny deciduous tree native to the Indian subcontinent and Southeast Asia, the sole member of the monotypic genus Aegle, considered sacred by Hindus and Buddhists.","Fragrant flowers bloom in April-May; the hard-skinned, aromatic globose fruit develops afterward and can take many months to mature and dry.",Kingdom Plantae; Order Sapindales; Family Rutaceae; Subfamily Aurantioideae; Genus Aegle; Species A. marmelos.,Provides fruit and habitat value in dry deciduous forest zones; naturalized across Sri Lanka and Nepal from its Indian subcontinent origin.,"Leaves, bark, roots, fruit and seeds all used in traditional medicine; leaves are a compulsory offering in the worship of Shiva, and the trifoliate leaf form is said to symbolise his trident.",30.3399,78.0322,,,,,,Verified against Wikipedia (Aegle marmelos) (accessed 2026).
Palash (Flame of the Forest),Butea monosperma,Fabaceae,Native,"Ornamental, Sacred / Socio-cultural","A medium-sized, dry-season-deciduous tree native to tropical and subtropical South and Southeast Asia, revered as sacred by Hindus and known for its striking orange-red spring bloom.","Slow-growing; bright orange-red flowers 2.5 cm long appear in dense racemes in late winter to early spring, typically on a leafless tree, followed by flat pods 15-20 cm long.",Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Faboideae; Genus Butea; Species B. monosperma.,Provides an important early-spring nectar source when little else is flowering; the state flower of Jharkhand and closely tied to regional dry deciduous forest ecosystems.,Gum from the bark (Bengal kino) is used in dyeing and tanning; young leaves used as fodder; flowers traditionally used to make the natural Holi colour 'kesari'; wood used for ritual utensils in Hindu ceremonies.,30.3363,78.0349,,,,,,Verified against Wikipedia (Butea monosperma) (accessed 2026).
Kachnar (Orchid Tree),Bauhinia variegata,Fabaceae,Native,"Ornamental, Food","A small to medium-sized tree native to an area spanning southern China through Southeast Asia to the Indian subcontinent, valued for its showy orchid-like flowers and edible flower buds.","Deciduous in the dry season; conspicuous bright pink or white flowers 5-12 cm across appear at or after leaf fall in late winter to early spring, followed by long flat seed pods.",Kingdom Plantae; Order Fabales; Family Fabaceae; Genus Bauhinia; Species B. variegata.,Flowers attract pollinators including bees and sunbirds; naturalized in open woodlands and forest edges across its native range.,"Unopened flower buds (kachnar) are a popular vegetable across North India and Pakistan, cooked into curries and pickles; bark and roots used in traditional remedies.",30.3407,78.0359,,,,,,Verified against Wikipedia (Bauhinia variegata) (accessed 2026).
Saptaparni (Devil Tree),Alstonia scholaris,Apocynaceae,Native,"Medicinal, Timber","A large evergreen tree native from Pakistan through southern China and south to northern Australia, named 'scholaris' for its historic use in making school writing slates and blackboards.","Evergreen with leaves in distinctive whorls of three to ten (giving the Sanskrit name 'saptaparni', or seven-leaves); fragrant white flowers typically bloom around October.",Kingdom Plantae; Order Gentianales; Family Apocynaceae; Genus Alstonia; Species A. scholaris.,"Grows up to 40 m tall with fluted, buttressed trunk; the tree is toxic to some herbivores due to bitter latex sap, which likely reduces browsing pressure.","Bark ('Dita bark') has long been used in traditional medicine across its range for fevers, dysentery and malaria; soft wood historically used for pencils, school slates and blackboards.",30.3381,78.0367,,,,,,Verified against Wikipedia (Alstonia scholaris) and LUMS Biodiversity database (accessed 2026).
Jackfruit,Artocarpus heterophyllus,Moraceae,Native,Food,"An evergreen tree believed to have originated in the rainforests of the Western Ghats of India (present-day Kerala, coastal Karnataka and Maharashtra), producing the largest tree-borne fruit in the world.","Evergreen; male and female flower clusters are borne directly on the trunk and main branches (cauliflory); a mature tree can produce up to 200 fruits a year, occasionally more in older trees.",Kingdom Plantae; Order Rosales; Family Moraceae; Genus Artocarpus; Species A. heterophyllus.,Closely related to breadfruit within Artocarpus; the rind and seeds are used as livestock fodder in parts of its range.,"National fruit of Bangladesh and state fruit of Kerala and Tamil Nadu; ripe fruit eaten fresh, unripe fruit cooked as a vegetable, and seeds boiled or roasted; wood used for furniture.",30.3372,78.0356,,,,,,Verified against Wikipedia (Jackfruit) (accessed 2026).
Tamarind,Tamarindus indica,Fabaceae,Exotic,Food,"A long-lived tropical tree that, despite its species name 'indica', is native to tropical Africa and Madagascar; it was introduced to and naturalized across India and South Asia in ancient times and is now deeply embedded in South Asian cuisine.","Small yellowish flowers with red-purple veins are produced in racemes in late spring to summer; the curved, velvety brown pods mature from late fall into early summer.",Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Caesalpinioideae; Genus Tamarindus; Species T. indica.,"A slow-growing, drought-tolerant, long-lived shade tree with a dense dome-shaped crown; the sole species in its genus.","Sour pulp from the pods is a staple souring agent across South Asian cooking (chutneys, curries, sauces); also used medicinally and as a metal polish; wood used in carpentry. Its name derives from Arabic 'tamar-hindi' (Indian date), reflecting its long history of cultivation in India despite its African origin.",30.336,78.0333,,,,,,"Verified against Wikipedia (Tamarind), Kew Plants of the World Online, and UF/IFAS Extension (accessed 2026). Note: genuinely native to Africa/Madagascar, not India, despite the species epithet."
Himalayan Maple,Acer oblongum,Sapindaceae,Native,Timber,"An unusual evergreen maple native to the lower Himalayan foothills of India, Nepal, Bhutan and adjoining Asia, notable for staying green through winter unlike almost all other maples.","Evergreen to semi-deciduous; small, inconspicuous greenish-white flowers appear in dense hairy racemes typically in winter (December-January in cultivation), followed by the classic two-winged maple samaras.",Kingdom Plantae; Order Sapindales; Family Sapindaceae; Genus Acer; Species A. oblongum.,Grows naturally in moist forests along Himalayan streams and watercourses at 600-2000 m elevation; buttressed trunk helps stabilise streamside soil.,"Wood used locally for plywood, boxes, planks, and household items such as ladles and drinking cups; also grown ornamentally for its glossy, evergreen foliage.",30.3415,78.0345,,,,,,Verified against Wikipedia (Acer oblongum) and Uttarakhand Forest Department plant database (accessed 2026).
Siris (East Indian Walnut),Albizia lebbeck,Fabaceae,Native,"Timber, Medicinal, Fodder","A large deciduous tree native to the Indian subcontinent and Myanmar, now widely naturalised across the tropics, known for its rattling seed pods that give it the common name 'woman's tongue tree'.","Deciduous; very fragrant white flowers with numerous long stamens bloom mainly in summer, followed by flat pods 15-30 cm long containing 6-12 seeds that rattle audibly in the wind.",Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Caesalpinioideae; Genus Albizia; Species A. lebbeck.,A nitrogen-fixing legume important for soil improvement in its native dry deciduous and riverbank habitats; tolerant of a wide range of climates from semi-desert to humid.,"Used traditionally to treat bronchitis, cough and asthma in Ayurvedic medicine; wood valued for construction, furniture-making and veneer; seed oil historically used in treating skin conditions.",30.3358,78.0362,,,,,,Verified against Wikipedia (Albizia lebbeck) and USDA Forest Service species profile (accessed 2026).
Australian Pine (Whistling Pine),Casuarina equisetifolia,Casuarinaceae,Native,"Soil water conservation, Timber","An evergreen, pine-like tree (though not a true conifer) with a native range spanning Australia, New Guinea, Southeast Asia and India, especially coastal areas, valued for erosion control and windbreaks.",Evergreen with needle-like jointed branchlets that carry out photosynthesis in place of true leaves; small cone-like woody fruits develop after inconspicuous male and female flowers on the same tree.,Kingdom Plantae; Order Fagales; Family Casuarinaceae; Genus Casuarina; Species C. equisetifolia.,"A nitrogen-fixing tree (via root-associated bacteria) well suited to poor, sandy coastal soils; widely used for sand dune stabilisation, shelterbelts and erosion control along tropical coastlines.","Wood used for fuelwood and light construction; extensively planted along coastlines (including a 3,000 km belt in southern China) for cyclone and wind protection.",30.3348,78.0338,,,,,,"Verified against Wikipedia (Casuarina equisetifolia) and Kew Plants of the World Online, which lists India within its native range (accessed 2026)."
Forest Red Gum (Eucalyptus),Eucalyptus tereticornis,Myrtaceae,Exotic,"Timber, Paper making","A fast-growing evergreen tree native to eastern Australia and southern New Guinea, widely introduced to India and other countries for timber, shade and reforestation.","Evergreen; smooth bark shed in irregular sheets giving a patchy white-grey-blue trunk; clusters of small white flowers bloom mainly in late spring to summer, followed by hemispherical woody fruit ('gum nuts').",Kingdom Plantae; Order Myrtales; Family Myrtaceae; Genus Eucalyptus; Species E. tereticornis.,"Fast-growing pioneer species often used in plantation forestry and reforestation; provides some pollinator forage, though large-scale eucalyptus plantations are debated for their heavy water use in Indian conditions.","Strong, durable timber used in construction, furniture and paper production; widely planted in India for fast-growing pulpwood and windbreak purposes since colonial-era forestry programmes.",30.3392,78.0348,,,,,,Verified against Wikipedia (Eucalyptus tereticornis) (accessed 2026).
Ginkgo (Maidenhair Tree),Ginkgo biloba,Ginkgoaceae,Exotic,"Medicinal, Ornamental","A living-fossil tree native to eastern China, the sole surviving species of an ancient plant order dating back over 200 million years, now planted worldwide as an ornamental and avenue tree.","Deciduous; distinctive fan-shaped leaves turn bright yellow in autumn; the tree is dioecious (separate male and female trees), with female trees producing fleshy, foul-smelling seed coats in autumn.",Kingdom Plantae; Division Ginkgophyta; Class Ginkgoopsida; Order Ginkgoales; Family Ginkgoaceae; Genus Ginkgo; Species G. biloba.,"Considered functionally extinct in the truly wild state, surviving mainly through cultivation in Chinese temple gardens for centuries before being redistributed worldwide as an ornamental.","Nut-like seed kernels are a traditional food in China; leaf extracts are widely sold as a dietary supplement, though rigorous evidence for health benefits is limited; wood used for crafts and small carvings.",30.3405,78.0341,,,,,,Verified against Wikipedia (Ginkgo biloba) and Kew Plants of the World Online (accessed 2026).
Guava,Psidium guajava,Myrtaceae,Exotic,"Food, Medicinal","An evergreen shrub or small tree genuinely native to Mexico, Central America, the Caribbean and tropical South America, introduced to and now naturalised extensively across India and the rest of the Old World tropics.","Evergreen; white flowers pollinated mainly by honeybees appear through much of the year in warm climates; fruit ranges from apricot- to grapefruit-sized depending on cultivar, with white, pink or red flesh.",Kingdom Plantae; Order Myrtales; Family Myrtaceae; Genus Psidium; Species P. guajava.,"Highly adaptable and fast-spreading once introduced, sometimes considered a mildly invasive species outside its native range due to easy naturalisation.","Fruit is a major commercial and dietary crop across India, eaten fresh or processed into juice, jelly and paste; leaves and fruit used in traditional medicine across many cultures for digestive and inflammatory complaints.",30.337,78.0371,,,,,,"Verified against Wikipedia (Psidium guajava) and Kew Plants of the World Online (accessed 2026). Note: genuinely native to the Americas, not India, despite being one of India's most common cultivated fruit trees."
Persian Walnut,Juglans regia,Juglandaceae,Native,"Food, Timber","A large deciduous tree native across a broad Eurasian range stretching from the Balkans through central Asia to the Himalayas and southwest China, cultivated worldwide for its edible nut.","Deciduous; male flowers hang in drooping catkins while female flowers form in small terminal clusters, ripening in autumn into a fleshy green husk enclosing the familiar brown, corrugated nut.",Kingdom Plantae; Order Fagales; Family Juglandaceae; Genus Juglans; Species J. regia.,A light-demanding species requiring full sun; extensive natural walnut forests still exist in parts of Central Asia such as Kyrgyzstan.,Nuts are eaten fresh or pressed for richly flavoured oil and are a major commercial crop in Himalayan states of India; high-quality wood used for furniture and gunstocks.,30.3414,78.0328,,,,,,Verified against Wikipedia (Juglans regia) (accessed 2026).
Pomegranate,Punica granatum,Lythraceae,Native,Food,"A deciduous shrub or small tree whose native range stretches from Iran through Central Asia to the Himalayas of northern India, long cultivated across the Mediterranean and South Asia for its jewel-seeded fruit.","Showy bright red flowers, 3 cm across with three to seven petals, bloom from spring into summer; the tough-skinned fruit, packed with juicy red arils, ripens from autumn into winter.",Kingdom Plantae; Order Myrtales; Family Lythraceae (formerly placed in its own family Punicaceae); Genus Punica; Species P. granatum.,Drought-tolerant and adaptable to a range of soils; an important nectar source for pollinators during its flowering season.,"Fruit eaten fresh or juiced, and used in cooking across South Asian and Middle Eastern cuisines; a longstanding symbol of fertility and abundance across Mediterranean, Persian and South Asian cultures.",30.3379,78.0334,,,,,,Verified against Wikipedia (Pomegranate) and Oregon State University landscape plants database (accessed 2026).
Indian Sandalwood,Santalum album,Santalaceae,Native,"Aromatic, Essential oil, Sacred / Socio-cultural","A small, slow-growing, hemi-parasitic tree traditionally regarded as native to southern India, though its precise origin is debated -- some botanists believe it was introduced to India from the Lesser Sunda Islands of Indonesia many centuries ago. It is the classic source of sandalwood oil.","Evergreen and long-lived (up to 100 years); the plant is a root hemi-parasite, tapping the roots of neighbouring trees for water and nutrients while photosynthesising its own food.",Kingdom Plantae; Order Santalales; Family Santalaceae; Genus Santalum; Species S. album.,As a root parasite it depends on host plant species nearby; overharvesting has made wild populations vulnerable to extinction across its Indian range.,"Fragrant heartwood and its distilled oil are central to Hindu religious ritual, Ayurvedic medicine, and the perfume industry; historically used for fine woodworking and carving, now largely restricted to oil extraction due to scarcity of large trees.",30.3383,78.0359,,,,,,Verified against Wikipedia (Santalum album and Santalum genus page) (accessed 2026). Note: origin as native vs. ancient introduction to India is genuinely debated among botanists.
Ashoka Tree,Saraca asoca,Fabaceae,Native,"Medicinal, Sacred / Socio-cultural, Ornamental","A small evergreen tree native to the Indian subcontinent, with its original range centred on the Deccan Plateau and Western Ghats, though it also occurs in the Himalayan foothills; deeply significant across Hindu, Buddhist and Jain tradition.","Evergreen; heavy, fragrant clusters of orange-yellow flowers bloom February-April, turning red before wilting; now classified as Vulnerable in the wild due to habitat loss and overharvesting of bark.",Kingdom Plantae; Order Fabales; Family Fabaceae (subfamily Detarioideae); Genus Saraca; Species S. asoca.,"A rainforest-associated species naturally found along streams and rivers in moist forest habitats; increasingly rare in the wild, though widely cultivated ornamentally.","Bark has long been used in traditional Ayurvedic medicine, particularly for gynaecological conditions; the tree holds deep religious significance and is frequently planted near temples across the Indian subcontinent; state flower of Odisha.",30.336,78.0345,,,,,,Verified against Wikipedia (Saraca asoca) (accessed 2026).
Ber (Indian Jujube),Ziziphus mauritiana,Rhamnaceae,Native,"Food, Wild Edible, Fodder","A spiny, evergreen to deciduous shrub or small tree believed native to South Asia, southern China, Southeast Asia and parts of Africa, now one of the most widely cultivated fruit trees of arid and semi-arid India.","Small greenish flowers appear in axillary clusters; the round to oval fruit ripens from green to yellow to reddish-brown, with a crisp, apple-like unripe stage and sweeter fully ripe stage.",Kingdom Plantae; Order Rosales; Family Rhamnaceae; Genus Ziziphus; Species Z. mauritiana.,"Hardy and drought-tolerant, well adapted to sandy arid soils; provides food for birds and other wildlife via its fruit and pollen for bees.","Fruit is widely eaten fresh, dried or made into juice and preserves across India, and is notably rich in vitamin C (second only to guava); leaves used as fodder, bark for dye and tannin, and various parts in traditional medicine.",30.3364,78.0328,,,,,,Verified against Wikipedia (Ziziphus mauritiana / Ber) (accessed 2026).
